feature,LIME_Decision Tree,LIME_Random Forest,LIME_XGBoost,LIME_Logistic Regression,LIME_EBM
callbacks.ncallbacks,12.59223214065483,3.0388051765990323,1.1628278387664424,0.38423523644716234,1.1706064009029735
dlllist.avg_dlls_per_proc,0.4259121311014638,1.4944348664050267,0.025329834407103787,0.12933394919424512,0.6770380169289794
dlllist.ndlls,7.829077873621951,1.8743852848097486,3.4999024049243683,8.372069710904894,9.752781737980765
handles.nkey,0.17390434281823758,0.09073819652846103,4.343906085295416,,2.2346417053881598
handles.nmutant,0.6159655208033938,0.40209585702516054,1.3277085805953766,10.89147736842537,9.635729465025765
handles.nsemaphore,0.4530020733601952,0.7421983972723145,6.066630690372694,3.4017731696823494,7.167434144444103
ldrmodules.not_in_init_avg,0.47986227420351163,0.021653664014478484,0.3720687219136797,0.09460147806333676,0.6057951540854866
ldrmodules.not_in_load,0.9154140633395159,0.28412562681357023,5.6703893484963235,23.12168881678708,10.17508559928329
malfind.commitCharge,0.49881108747915254,4.2841320208160045,11.05501085449973,0.20215526939037104,10.244863793454595
malfind.ninjections,0.5211827134268648,1.7072189954369812,0.38587873750958074,7.453740718239614,5.409794358136407
malfind.uniqueInjections,4.105080569251545,0.534166739547892,0.039156633962944346,0.6396388695479307,0.030780255820724498
pslist.avg_handlers,20.824640140550603,7.633561738536964,11.738205103611271,,
pslist.avg_threads,7.478040003939421,3.4261355557303528,9.56137299783231,11.924387544956698,10.162268783565052
pslist.nppid,0.5161160879787822,0.23143352620184526,0.21491356606547163,5.630744222430728,0.044262723657752225
psxview.not_in_ethread_pool_false_avg,3.0620596545145484,0.23981972191246181,5.371502160570243,2.775748407791798,0.9424614168891166
svcscan.kernel_drivers,0.3131191251919374,4.375610925524976,0.023904248315163284,0.4716656447421069,
svcscan.nactive,0.3590961982048851,0.3325781668606178,0.06448662877130269,1.172175010151332,1.6470679902300585
svcscan.nservices,18.45233542089559,20.983159417063163,28.735762611509077,28.282912042863092,15.964963499510985
svcscan.process_services,46.4272045100418,19.30375706963546,44.2619664149655,52.43606219542418,67.86461130410498
