Model,Spearman_rho,p_value,Top5_overlap,Top10_overlap,N_features_matched,Agreement
Decision Tree,0.902,0.0,4/5 (80%),9/10 (90%),19,Excellent
EBM,0.65,0.0048,3/5 (60%),7/10 (70%),17,Moderate
Random Forest,0.527,0.0245,4/5 (80%),7/10 (70%),18,Moderate
XGBoost,0.819,0.0001,3/5 (60%),9/10 (90%),17,Strong
Logistic Regression,0.96,0.0,5/5 (100%),10/10 (100%),19,Excellent
