Model,Accuracy,F1-Score,ROC-AUC,FPR,Spearman_rho,Top5_overlap,Agreement,Overall,Rank
Logistic Regression,0.9985,0.9985,1.0,0.0015,0.96,5/5 (100%),Excellent,0.97925,1
Decision Tree,0.9997,0.9997,0.9997,0.0002,0.902,4/5 (80%),Excellent,0.95085,2
XGBoost,0.9999,0.9999,1.0,0.0002,0.819,3/5 (60%),Strong,0.90945,3
EBM,1.0,1.0,1.0,0.0,0.65,3/5 (60%),Moderate,0.825,4
Random Forest,1.0,1.0,1.0,0.0,0.527,4/5 (80%),Moderate,0.7635000000000001,5
