feature,LIME_Decision Tree,LIME_Random Forest,LIME_XGBoost,LIME_Logistic Regression,LIME_EBM
callbacks.ncallbacks,12.619051251587338,3.017453385361074,0.8667642729313124,0.5427639892166426,1.0664907767704597
dlllist.avg_dlls_per_proc,0.3782716004523057,1.4086240928319012,,0.16026791377386843,0.5312631955782215
dlllist.ndlls,7.944355546435852,1.8937271206859287,3.835538777255417,8.280619755053515,9.77511071074863
handles.nkey,0.3744967541398063,0.18898332671949053,4.446637049139223,0.026908604054046575,2.2328986782309657
handles.nmutant,0.47256289927215,0.3770765744516242,1.2102439723438116,10.573729384561522,9.82699731491994
handles.nsemaphore,0.5553564952216661,0.46791994969265593,5.950079666422691,3.372743855654393,7.313263108407501
ldrmodules.not_in_init_avg,0.43278589103106146,,0.4254445649039564,0.11363877616835519,0.5347902789822043
ldrmodules.not_in_load,1.053626616777893,0.254905436154276,5.509487460869288,23.416202701339067,10.031530305651595
malfind.commitCharge,0.5532910829990145,4.330624431393763,10.963244226388642,0.33221703273515313,10.343495606125266
malfind.ninjections,0.5473653162577432,1.603784471742221,0.5075426129040952,7.246995876444843,5.321991160644546
malfind.uniqueInjections,3.852637524269466,0.6277636375732937,0.028463778499613287,0.5379682831007713,0.07307324013525979
pslist.avg_handlers,20.628941540546172,7.657589146374326,11.738982876519136,0.021997542586788266,
pslist.avg_threads,7.370604582743029,3.446678495762395,9.493364272393444,12.04349499163761,10.33154122845638
pslist.nppid,0.35825256233899816,0.36218676716749765,0.2018868372343176,5.614154759356414,
psxview.not_in_ethread_pool_false_avg,2.8109197238694708,0.2207390933899637,5.401984677438757,2.7977889888534833,0.87041612416668
svcscan.kernel_drivers,0.3285612145561999,4.360588908784055,,0.5192892069765224,0.03363357400950986
svcscan.nactive,0.37165350429969707,0.3991995947804332,0.032873110744073473,1.2143407481523931,1.5659134736332212
svcscan.nservices,18.54656492935762,20.989109443517265,28.751158932614693,28.291328753095506,15.999174160697699
svcscan.process_services,46.294144046334125,19.255480948562433,44.42816080426824,52.16913036688545,67.6835900065473
